question,choices,answer
Where can fungus grow on walls ?,shower stall|salad|locker room|basement|bathroom,basement
"John could n't arise from his position , so he remained at his desk . What might his position be ?",get down|kneeling|lie down|lay down|sitting down,sitting down
What might have a drop of flood on their fingertip ?,needle|person|clock|test tube|battlefield,person
The heir to this country 's throne is n't the prince of it . What country is it ?,fairy tale|egypt|england|europe|castle,england
Where might a child go who has no home ?,school|orphanage|most homes|recreational|pen,orphanage
Crabs crawl along the bottom of what ?,bodies of water|fish market|aquarium|saltwater|galapagos,bodies of water
Why does this person eat so much ?,gain weight|promise to do|catch cold|finish food|fear death,gain weight
Someone who gets nervous and does n't know how to dance might do what when they attempt to start dancing ?,wallflower|stand down|sitting still|stand still|standing still,stand still
Almost everyone who has been driving a car has seen or been in a what ?,getting tired|go somewhere|water pollute|backache|automobile accidents,automobile accidents
"His want for more was insatiable , a what was n't enough ?",presence|overabundance|stockpile|plentitude|morman,plentitude
Where can you buy grapes directly from their growers ?,grocery cart|kitchen|fridge|fruit market|super market,fruit market
Where would a woman keep a dollar bill ?,wallet|pocket|mailbox|buy coke|purse,purse
"James spent a lot of time walking long distances . He walked not because he liked it , it made his feet sore , nut because it was his only means of what ?",lose weight|moving forward|blisters|locomotion|meditation,locomotion
"He never took for granted living in the land of the free , for he was once a what abroad ?",caged in|see work|slavery|topfree|prisoner,prisoner
Most people have what which they use to carry things ?,two eyes|two hands|two arms|carry bags|ears,two hands
Nations agreeing with each other will lead to what ?,taco tuesday|like|problem|peace|contract,peace
"If I want to keep my floor covering down , what should I put the tack in ?",carpet|bulliten board|message board|bulletin board|wall,carpet
Lips are found on a person 's what ?,body|knee|motion|faces|human face,faces
"Sam thought that his efforts were necessary , but in reality the accomplished nothing . They were what ?",superfluous|useless|swap cs|unneeded|useless,useless
What is a place that sells suntan lotion but not food or medicine ?,mini mall|shop|grocery store|pharmacy|drugstore,shop
"I was driving a car and had a heart attack at 80 mph , what awaits me ?",new car|wreak|getting somewhere|death|getting tired,death
People are genetically most likely to have this on top of their head ?,horns|two eyes|brown hair|drug problem|feelings,brown hair
Where would you put condiments if you are planning to use them soon ?,kitchen|pantry|table|refrigerator|container,table
Where will someone go for killing ?,investigation|court|going to jail|dies|death of,going to jail
Sally bought bubblegum . Where might she have gotten it ?,supermarket|theater|street|pocket|church,supermarket
what does getting divorce induce in someone who does n't want it ?,freedom|joy|depression|anguish|tears,depression
Where would you find a trash can while enjoying the great outdoors ?,water cooler|alley|park|food place|motel,park
"He did n't have the attention span for reading book , so he would just what and pretend he was reading ?",sit|falling asleep|eat cake|learning|fall asleep,sit
James owned a historic deli . It had some protections that helped him keep it open . It was an important landmark where ?,new york city|indianapolis|office building|shopping center|strip mall,new york city
"If something is very hard but you just manage to be able to do it , it can be called what ?",controvertible|interesting|easy|agreeable|bearable,bearable
Where is the sky fake ?,shed|atmosphere|photo|outdoors|planetarium,planetarium
"Before the game some players knelt to pray , they did this because they what ?",being watched|you 're scared|were religious|god hears|talk to god,were religious
What is the name of a place where cargo is stored ?,at sea|ship 's hold|aeroplane|airplane|boat,ship's hold
"Visiting museum was an emotional experience for the old veteran , he hid it best he could but he began to what ?",cry|whisper|appriciation|take pictures|feeling proud,cry
"The rooms in the experimental home were quite unique , they were n't the traditional what ?",posessions in|high walls|doors and windows|triangles|square shape,square shape
How does one decide if instituting a particular civil action is fair ?,restitution|anger|trial|court case|confusion,trial
Where are people who do the same kind of work likely to gather ?,train station|convention|workplace|wedding|theater,convention
What happens after eating dinner ?,heart burn|become tired|become full|flatulence|indigestion,become full
What would cause a ship to stop moving ?,near shore|a romulian space craft|sail on sea|heading east|run aground,run aground
What is a train-related expression for exhaustion ?,have rest|run out of steam|go to sleep|tuckered out|stay in bed,run out of steam
Where would you find a lot of beds ?,bedford|rest area|neighbor 's house|hospital|loft,hospital
Where can you find the tallest skyscraper in the mid-western U.S. ?,high population|manhattan|new york city|chicago|large city,chicago
What might having a check up lead to for some people ?,pain|good behavior|uncertainty|anxiety|stress,anxiety
"He was competing for the prestigious prize , though it had no money , what was he seeking by attempting to get it ?",enemies|rivalry|bad blood|accomplishment|game,accomplishment
"The flour was stored away from the kids so they could n't play with it , where was it ?",pantry|grocery store|cupboard|kitchen|table,pantry
